ID;NOM;TYPE;PROP_VEGE_HAUTE;ADRESSE;ARRONDISSEMENT;OUVERTURE;OUVERTURE_24H;OUVERTURE_CANICULE;HORAIRES_LUNDI;HORAIRES_MARDI;HORAIRES_MERCREDI;HORAIRES_JEUDI;HORAIRES_VENDREDI;HORAIRES_SAMEDI;HORAIRES_DIMANCHE;LATITUDE;LONGITUDE
85;PROMENADE BERNARD LAFAY - A4;Promenades ouvertes;55.749356000000006;12 BD AURELLE PALADINES;75017;Ouvert;Oui;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.883723313;2.28357002046
86;SQUARE SERGE REGGIANI;Promenades ouvertes;1.6514750000000002;1 V PL BITCHE;75019;Ouvert;Oui;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8889574362;2.37913176462
87;SQUARE PAUL PAINLEVE;Promenades ouvertes;51.453066;3 PL PAUL PAINLEVE;75005;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8500674839;2.34412279568
88;SQUARE PAUL GRIMAULT;Promenades ouvertes;3.1020559999999997;28 RUE FONTAINE MULARD;75013;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8228671076;2.34791043026
89;SQUARE OLAVE ET ROBERT BADEN-POWELL;Promenades ouvertes;24.512147000000002;59 RUE BAYEN;75017;Ouvert;Non;Non;09:30 - 18:00;09:30 - 18:00;09:30 - 18:00;09:30 - 18:00;09:30 - 18:00;09:00 - 18:00;09:00 - 18:00;48.882441466;2.29061739937
90;JARDIN JANIS JOPLIN;Promenades ouvertes;31.447433000000004;1 RUE PAGANINI;75020;Ouvert;Oui;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8516634835;2.41148006833
91;Le Petit Jean Bouin;Bois;16.886624;5-7 avenue de la Porte Molitor;75016;;Non;Non;;;;;;;;48.8497118288;2.2504264962
92;UCPA Club Bayard Equitation;Bois;25.446513;Avenue du Polygone;75012;;Non;Non;;;;;;;;48.8342387229;2.43169542125
93;Cercle Hippique du Bois de Boulogne;Bois;16.191394;Route de la Muette à Neuilly;75016;;Non;Non;;;;;;;;48.877529639;2.26073369719
94;PROMENADE RICHARD LENOIR REPUBLIQUE-JP TIMBAUD;Promenades ouvertes;56.807631;35   BOULEVARD RICHARD LENOIR;75011;;Oui;Non;;;;;;;;48.865940696;2.36949711047
95;JARDINET DE LA RUE ALPHONSE BAUDIN;Jardinets décoratifs;36.889169;13   RUE ALPHONSE BAUDIN;75011;;Non;Non;;;;;;;;48.8608638682;2.37019767915
96;CIMETIERE DE PASSY;Cimetières;33.849023;2, rue du Commandant-Schloesing;75016;Ouvert;Non;Non;08:00 - 12:00;08:00 - 12:00;08:00 - 12:00;08:00 - 12:00;08:00 - 12:00;08:30 - 12:00;09:00 - 12:00;48.8625408031;2.2851013781
97;JARDINIERE DE LA PLACE DE L'ESTRAPADE;Décorations sur la voie publique;62.940036;1   PLACE DE L' ESTRAPADE;75005;;Non;Non;;;;;;;;48.8452514644;2.344817261
98;JARDINIERES DE LA PROMENADE PLANTEE TOLBIAC CHEVALERET;Décorations sur la voie publique;91.922196;64   RUE DU CHEVALERET;75013;;Non;Non;;;;;;;;48.8306734629;2.3751924823
99;JARDIN DE LA CITE INTERNATIONALE DES ARTS;Jardins privatifs;43.669399000000006;24   RUE NORVINS;75018;;Non;Non;;;;;;;;48.887908665;2.33856336276
100;JARDIN D'IMMEUBLES DU BOULEVARD CARNOT;Promenades ouvertes;33.998865;2   BOULEVARD CARNOT;75012;Ouvert;Oui;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8458551953;2.41310576263
101;PELOUSE DE REUILLY;Promenades ouvertes;6.056056;13  ROUTE DE CEINTURE DU LAC DAUMESNIL;75012;;Non;Non;;;;;;;;48.8297933589;2.40705061883
102;ILE DE BERCY;Promenades ouvertes;37.952284000000006;31 W ROUTE DE CEINTURE DU LAC DAUMESNIL;75012;Ouvert;Non;Non;09:30 - 18:00;09:30 - 18:00;09:30 - 18:00;09:30 - 18:00;09:30 - 18:00;09:30 - 18:00;09:30 - 18:00;48.8319164488;2.41115404703
103;JARDIN DE L'AVENUE FOCH - PELOUSE 22;Promenades ouvertes;39.889989;10 AV FOCH;75016;Ouvert;Oui;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;;
104;;;;;;;;;;;;;;;;;
105;JARDIN DE L'IMPASSE TRUILLOT;Promenades ouvertes;10.0;66 BOULEVARD RICHARD LENOIR;75011;Ouvert;Non;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8605190071;2.37393504961
106;SQUARE DE LA PORTE DE LA VILLETTE;Promenades ouvertes;28.193548;22 RUE CHEMIN FER;75019;Ouvert;Oui;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;48.8998537845;2.38995021389
107;JARDIN DE L'AVENUE FOCH - PELOUSE 15;Promenades ouvertes;56.049717;10 AV FOCH;75016;Ouvert;Oui;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;;
108;;;;;;;;;;;;;;;;;
109;JARDIN DE L'AVENUE FOCH - PELOUSE 16;Promenades ouvertes;42.285432;10 AV FOCH;75016;Ouvert;Oui;Non;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;00:00 - 23:59;;
110;;;;;;;;;;;;;;;;;
111;SQUARE MAURICE KRIEGEL-VALRIMONT DIT SQUARE DE CLIGNANCOURT;Promenades ouvertes;59.70874499999999;1 SQ CLIGNANCOURT;75018;Ouvert;Non;Non;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;08:00 - 18:00;09:00 - 18:00;09:00 - 18:00;48.8930327487;2.3465017623
