ID;NOM;TYPE;PAYANT;ADRESSE;ARRONDISSEMENT;OUVERTURE;HORAIRES_LUNDI;HORAIRES_MARDI;HORAIRES_MERCREDI;HORAIRES_JEUDI;HORAIRES_VENDREDI;HORAIRES_SAMEDI;HORAIRES_DIMANCHE;LATITUDE;LONGITUDE
247;Hôtel des Invalides;Musée;Oui;129 rue de Grenelle;75007;;;;;;;;;48.8560002993;2.31108101753
248;Piscine Suzanne Berlioux;Piscine;Oui;forum des Halles;75001;Fermé;07:00 - 08:15 / 10:00 - 23:00;11:30 - 22:00;11:30 - 23:00;11:30 - 22:00;11:30 - 22:00;09:00 - 19:00;09:00 - 19:00;48.8617939706;2.34716456058
249;Palais de Chaillot;Musée;Oui;1 place du Trocadéro et du 11 Novembre;75016;;;;;;;;;48.8631450445;2.28961825738
250;Eglise Saint-Pierre de Chaillot;Lieux de culte;Non;31  AV MARCEAU;75016;;;;;;;;;48.8677051032;2.29850953116
251;Brumisateur Paris Plage -  Bassin de la Villette;Brumisateur;Non;Bassin de la Villette;75019;;;;;;;;;48.8874412372;2.37647202041
252;Brumisateur Square du Sergent Aurélie Salel;Brumisateur;Non;13 rue Sorbier;75020;;;;;;;;;48.8670780192;2.39156648612
253;Brumisateur Square Emmanuel Fleury;Brumisateur;Non;40 rue Le Vau;75020;Ouvert;;;;;;;;48.8703636476;2.41189665163
254;Piscine Georges-Vallerey;Piscine;Oui;148, avenue Gambetta;75020;Ouvert;11:45 - 13:30;11:45 - 13:30 / 17:15 - 22:00;07:00 - 08:30 / 12:30 - 19:00;11:45 - 13:30 / 17:15 - 22:00;07:00 - 12:30;11:00 - 14:30 / 15:00 - 19:00;11:00 - 14:30 / 15:00 - 19:00;48.8754886936;2.40672976295
255;Synagogue;Lieux de culte;Non;28  RUE BUFFAULT;75009;;;;;;;;;48.8761049665;2.34256225124
256;Chapelle Notre-Dame de l'annonciation;Lieux de culte;Non;222  RUE FAUBOURG SAINT HONORE;75008;;;;;;;;;48.876024433;2.30392468372
257;Musée de Montmartre;Musée;Oui;12-14 Rue Cortot;75018;;;;;;;;;48.8880325872;2.34065590699
258;Eglise Saint-Michel des Batignolles;Lieux de culte;Non;14b RUE SAINT-JEAN;75017;;;;;;;;;48.8890593486;2.32462856266
259;Piscine d'Auteuil;Piscine;Oui;1, Route des Lacs à Passy;75016;Fermé;10:00 - 18:00;08:30 - 18:00;08:30 - 18:00;08:30 - 18:00;08:30 - 18:00;08:30 - 18:00;08:30 - 18:00;48.8583014973;2.2612099206
260;MAIRIE DU 20E;Mairie d'arrondissement;Non;6 place GAMBETTA;75020;Fermé;8h30 - 17h;08:30 - 11:00;8h30 - 17h;16:00 - 17:00;8h30 - 17h;9h - 12h30;Fermé;48.8651246836;2.39897244945
261;Bain-douche Les Amiraux;Bains-douches;Non;6, rue Hermann-Lachapelle;75018;;;;;;;;;48.8944366731;2.35068445707
262;Eglise Notre-Dame de Grace de Passy;Lieux de culte;Non;10  RUE ANNONCIATION;75016;;;;;;;;;48.8564036097;2.28042196313
263;Musée d'Orsay;Musée;Oui;1 Rue de la Légion d'Honneur;75007;;;;;;;;;48.8599823477;2.32635289166
264;Synagogue Nazareth;Lieux de culte;Non;15  RUE NOTRE-DAME DE NAZARETH;75003;;;;;;;;;48.8669137463;2.35991817714
265;Eglise Saint-Ferdinand;Lieux de culte;Non;27  RUE ARMAILLE;75017;;;;;;;;;48.8786245889;2.2908191651
266;Bibliothèque Goutte d'Or;Bibliothèque;Non;4-6 Rue Fleury;75018;Ouvert;;14:30 - 17:30;14:30 - 17:30;14:30 - 17:30;14:30 - 17:30;14:30 - 17:30;;48.8844020955;2.35422854299
267;MAIRIE DU 18E;Mairie d'arrondissement;Non;1 place JULES JOFFRIN;75018;Fermé;8h30 - 17h;8h30 - 17h;8h30 - 17h;16:00 - 17:00;8h30 - 17h;9h - 12h30;Fermé;48.892287229;2.34464993943
268;Eglise Saint-Hippolyte;Lieux de culte;Non;27  AV CHOISY;75013;;;;;;;;;48.8213248997;2.36278280963
269;Grande Galerie de l'Evolution;Musée;Oui;36 Rue Geoffroy-Saint-Hilaire;75005;;;;;;;;;48.8421827632;2.35618062951
270;Eglise Notre-Dame des Champs;Lieux de culte;Non;91  BD MONTPARNASSE;75006;;;;;;;;;48.8434742949;2.32716150509
271;Synagogue A.C.I.P.;Lieux de culte;Non;14  RUE CHASSELOUP LAUBAT;75015;;;;;;;;;48.8474578717;2.30484752003
272;Eglise Saint-Antoine des Quinze-Vingts;Lieux de culte;Non;66  AV LEDRU-ROLLIN;75012;;;;;;;;;48.8487814685;2.37381868471
273;Eglise Orthodoxe Roumaine;Lieux de culte;Non;9b RUE JEAN DE BEAUVAIS;75005;;;;;;;;;48.8494755391;2.347224637
274;Eglise Saint-Severin;Lieux de culte;Non;24  RUE SAINT-JACQUES;75005;;;;;;;;;48.8520545245;2.34572198335
275;Memorial de la Shoah;Musée;Non;17 Rue Geoffroy l'Asnier;75004;;;;;;;;;48.8548970358;2.35610572677
276;Musée Rodin;Musée;Oui;77 rue de Varenne;75007;;;;;;;;;48.8553093494;2.31585633167
277;Musée d'Art Moderne de Paris;Musée;Non;11 Avenue du Président Wilson;75016;;;;;;;;;48.8642212277;2.29802336225
278;MAIRIE DU 4E;Mairie d'arrondissement;;4 PLACE BAUDOYER;75004;;;;;;;;;48.856088024;2.35592108562
279;Eglise Saint-Joseph Artisan;Lieux de culte;Non;214 Rue la Fayette;75010;;;;;;;;;48.8814100909;2.36763404634
280;Eglise Saint-Jacques Saint-Christophe;Lieux de culte;Non;3  PL JOINVILLE;75019;;;;;;;;;48.889257131;2.37982795916
281;Eglise Sainte-Geneviève des Grandes Carrières;Lieux de culte;Non;174  RUE CHAMPIONNET;75018;;;;;;;;;48.8949485589;2.3337358482
282;Piscine Alfred Nakache;Piscine;Oui;4-12 rue Dénoyez;75020;Ouvert;12:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;08:00 - 12:30 / 13:30 - 18:00;48.8714830603;2.37867704085
283;MAIRIE DU 19E;Mairie d'arrondissement;Non;5 place ARMAND CARREL;75019;Fermé;8h30 - 17h;8h30 - 17h;8h30 - 17h;11:45 - 13:15;8h30 - 17h;9h - 12h30;Fermé;48.8828086508;2.38191411171
284;Eglise Sainte-Anne de la Butte Aux Cailles;Lieux de culte;Non;11  RUE MARTIN BERNARD;75013;;;;;;;;;48.8261273385;2.35001384521
285;Eglise Notre-Dame du Rosaire;Lieux de culte;Non;194  RUE RAYMOND LOSSERAND;75014;;;;;;;;;48.8292711973;2.30791339159
286;Musée du cinéma - Cinémathèque Française;Musée;Oui;51 rue de Bercy;75012;;;;;;;;;48.8370005872;2.38257494343
287;Galerie de Botanique;Musée;Oui;18 rue Buffon;75005;;;;;;;;;48.8424422628;2.36016153345
288;Eglise Notre-Dame d'auteuil;Lieux de culte;Non;1  RUE COROT;75016;;;;;;;;;48.847181816;2.269488122
289;Piscine René et André Mourlon;Piscine;Oui;19, rue Gaston de Caillavet;75015;Ouvert;08:30 - 14:00;08:30 - 20:30;10:00 - 18:00;08:30 - 18:00;08:30 - 18:00;10:00 - 15:00;10:00 - 15:00;48.8487375055;2.28480685787
290;Synagogue de la Place des Vosges;Lieux de culte;Non;14  PL VOSGES;75004;;;;;;;;;48.8553213621;2.36683410653
291;Eglise Saint-Louis des Invalides;Lieux de culte;Non;2  AV TOURVILLE;75007;;;;;;;;;48.8552186435;2.31256011813
292;Chapelle du Coeur Eucharistique;Lieux de culte;Non;22  RUE LIEUTENANT CHAURE;75020;;;;;;;;;48.8677122918;2.40637732798
293;Brumisateur Paris Plage - Federico Garcia Lorca;Brumisateur;Non;Voie Georges Pompidou;75004;;;;;;;;;48.8547344789;2.35349011885
294;Cathedrale Orthodoxe Saint-AlexAndré Nevsky;Lieux de culte;Non;12  RUE DARU;75008;;;;;;;;;48.8776409031;2.30195222912
295;Eglise Saint-Bernard de la Chapelle;Lieux de culte;Non;6b RUE SAINT-LUC;75018;;;;;;;;;48.8860585976;2.35505459989
296;Eglise Sainte-Marie des Batignolles;Lieux de culte;Non;77  PL DOCTEUR FELIX LOBLIGEOIS;75017;;;;;;;;;48.8867701584;2.31789501033
297;MAIRIE DU 14E;Mairie d'arrondissement;Non;2 place FERDINAND BRUNOT;75014;;8h30 - 17h;8h30 - 17h;8h30 - 17h;8h30 - 17h;8h30 - 17h;9h - 12h30;Fermé;48.8330815518;2.32653979888
298;Musée Zadkine;Musée;Non;100 bis Rue d'Assas;75006;;;;;;;;;48.8429977541;2.33399308886
