ID;TYPE;MODELE;VOIE;COMMUNE;DISPONIBILITE;DEBUT_INDISPO;FIN_INDISPO;MOTIF_INDISPO;LATITUDE;LONGITUDE
255;FONTAINE_BOIS;Particulier;RUE DES THERMOPYLES;PARIS 14EME ARRONDISSEMENT;OUI;;;;48.8320573315;2.31955744253
256;FONTAINE_BOIS;GHM Bois;RUE VITRUVE;PARIS 20EME ARRONDISSEMENT;NON;2020-12-03T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8559411233;2.40146728315
257;FONTAINE_BOIS;GHM Bois;SQUARE JAILLOT;PARIS 5EME ARRONDISSEMENT;NON;2020-12-07T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8433393609;2.350421655
258;FONTAINE_BOIS;Wallace Bois;ROUTE DE LA BRASSERIE;PARIS 12EME ARRONDISSEMENT;NON;2020-11-19T02:00:00+01:00;2021-03-31T04:00:00+02:00;FERMETURE HIVERNALE;48.8269726082;2.42169471125
259;FONTAINE_BOIS;;AVENUE CENTRALE;PARIS 20EME ARRONDISSEMENT;NON;2020-11-24T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8752405405;2.40044421298
260;FONTAINE_BOIS;;RUE LECOURBE;PARIS 15EME ARRONDISSEMENT;OUI;;;;48.8377713669;2.28522544857
261;FONTAINE_BOIS;;AVENUE TRANSVERSALE 1;PARIS 20EME ARRONDISSEMENT;OUI;;;;48.8601971552;2.39564026127
262;FONTAINE_BOIS;Santa Cole Atlantida;RUE GILBERT CESBRON;PARIS 17EME ARRONDISSEMENT;NON;2021-02-09T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8922042674;2.3116986485
263;FONTAINE_BOIS;Bayard D1;RUE FRANCIS PONGE;PARIS 19EME ARRONDISSEMENT;NON;2020-09-28T04:00:00+02:00;;APP A REPARER;48.8823746457;2.39443380072
264;FONTAINE_BOIS;GHM Bois;PARC MONCEAU;PARIS 8EME ARRONDISSEMENT;NON;2020-12-04T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8798301324;2.30954902629
265;FONTAINE_BOIS;Santa Cole Atlantida;QUAI DU LOT;PARIS 19EME ARRONDISSEMENT;OUI;;;;48.8995961373;2.38136097121
266;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;CITE INTERNATIONALE UNIVERSITAIRE DE PARIS;PARIS 14EME ARRONDISSEMENT;OUI;;;;48.817923087;2.34169804728
267;FONTAINE_BOIS;;CIMETIERE PARISIEN DE SAINT-OUEN;SAINT-OUEN;NON;2020-11-25T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.9065997203;2.35098459814
268;FONTAINE_BOIS;;CIMETIERE PARISIEN DE PANTIN-BOBIGNY;PANTIN;NON;2020-11-23T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.9048680451;2.41005026587
269;FONTAINE_BOIS;;CIMETIERE PARISIEN DE BAGNEUX;BAGNEUX;NON;2020-11-24T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8038411723;2.30608660555
270;FONTAINE_BOIS;;CIMETIERE PARISIEN DE BAGNEUX;BAGNEUX;NON;2020-11-24T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.8050389139;2.30974552798
271;FONTAINE_BOIS;GHM Bois;RUE JOLIVET;PARIS 14EME ARRONDISSEMENT;OUI;;;;48.8409652313;2.32352321738
272;FONTAINE_BOIS;Santa Cole Atlantida;RUE DU PRE;PARIS 18EME ARRONDISSEMENT;OUI;;;;48.8968732696;2.36256892432
273;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;CIMETIERE PARISIEN DE THIAIS;THIAIS;NON;2020-11-24T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.7621985663;2.37700379287
274;FONTAINE_BOIS;Fontaine des Bois, Parcs et Jardins;CIMETIERE PARISIEN DE THIAIS;THIAIS;NON;2020-11-23T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.7561734866;2.37841553491
275;FONTAINE_BOIS;;CIMETIERE PARISIEN DE PANTIN-BOBIGNY;PANTIN;NON;2020-11-25T02:00:00+01:00;2021-04-30T04:00:00+02:00;FERMETURE HIVERNALE;48.906396738;2.40428812269
